quote,digits,point,minDist,value,minSize,stepSize,maxSize,commission,leverage
EURNOK,5,1e-05,0.0,0.11605,0.01,0.01,50.0,7,100
EURNZD,5,1e-05,0.0,0.71102,0.01,0.01,150.0,7,100
EURPLN,5,1e-05,0.0,0.27216,0.01,0.01,50.0,7,100
EURSCHA_H1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
EURSCHA_M1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
EURSCHA_U1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
EURSCHA_U9,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
EURSCHA_Z1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
EURSCHA_Z9,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
EURSEK,5,1e-05,0.0,0.12099,0.01,0.01,50.0,7,100
EURSGD,5,1e-05,0.0,0.75222,0.01,0.01,50.0,7,100
EURTRY,5,1e-05,0.0,0.13435,0.01,0.01,50.0,7,100
EURUSD,5,1e-05,0.0,1.0,0.01,0.01,200.0,7,100
EURZAR,5,1e-05,0.0,0.06839,0.01,0.01,50.0,7,100
F40,2,0.01,0.0,0.01,1.0,1.0,250.0,7,100
GBPAUD,5,1e-05,0.0,0.75888,0.01,0.01,150.0,7,100
GBPCAD,5,1e-05,0.0,0.77874,0.01,0.01,150.0,7,100
GBPCHF,5,1e-05,0.0,1.12604,0.01,0.01,150.0,7,100
GBPDKK,5,1e-05,0.0,0.16445,0.01,0.01,50.0,7,100
GBPJPY,3,0.001,0.0,0.964,0.01,0.01,150.0,7,100
GBPNOK,5,1e-05,0.0,0.11605,0.01,0.01,50.0,7,100
GBPNZD,5,1e-05,0.0,0.71102,0.01,0.01,150.0,7,100
GBPSEK,5,1e-05,0.0,0.12099,0.01,0.01,50.0,7,100
GBPSGD,5,1e-05,0.0,0.75222,0.01,0.01,50.0,7,100
GBPTRY,0,0.0,0.0,0.0,0.0,0.0,50.0,7,100
GBPUSD,5,1e-05,0.0,1.0,0.01,0.01,200.0,7,100
HK50,2,0.01,0.0,0.0,1.0,1.0,250.0,7,100
IT40,2,0.01,0.0,0.01,1.0,1.0,250.0,7,100
ITBTP10Y_H1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
ITBTP10Y_M1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
ITBTP10Y_U1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
ITBTP10Y_Z1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
ITBTP10Y_Z9,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
JGB10Y_H1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
JGB10Y_M1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
JGB10Y_U1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
JGB10Y_U9,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
JGB10Y_Z0,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
JGB10Y_Z1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
JGB10Y_Z9,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
JP225,2,0.01,0.0,0.0,1.0,1.0,250.0,7,100
LTCUSD,0,0.0,0.0,0.0,0.0,0.0,10.0,7,100
MidDE60,0,0.0,0.0,0.0,1.0,1.0,250.0,7,100
NETH25,0,0.0,0.0,0.0,1.0,1.0,250.0,7,100
NMCUSD,0,0.0,0.0,0.0,1.0,0.0,100.0,7,100
NOKJPY,3,0.001,0.0,0.964,0.01,0.01,50.0,7,100
NOKSEK,5,1e-05,0.0,0.12099,0.01,0.01,50.0,7,100
NOR25,0,0.0,0.0,0.0,1.0,1.0,250.0,7,100
NZDCAD,5,1e-05,0.0,0.77874,0.01,0.01,150.0,7,100
NZDCHF,5,1e-05,0.0,1.12604,0.01,0.01,150.0,7,100
NZDJPY,3,0.001,0.0,0.964,0.01,0.01,150.0,7,100
NZDUSD,5,1e-05,0.0,1.0,0.01,0.01,150.0,7,100
OJ_F1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
OJ_H1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
OJ_K1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
OJ_N1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
OJ_U1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
OJ_U9,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
OJ_X1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
OJ_X9,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
PPCUSD,0,0.0,0.0,0.0,1.0,0.0,100.0,7,100
SA40,0,0.0,0.0,0.0,1.0,1.0,250.0,7,100
SE30,0,0.0,0.0,0.0,1.0,1.0,250.0,7,100
SEKJPY,3,0.001,0.0,0.964,0.01,0.01,50.0,7,100
SGDJPY,3,0.001,0.0,0.964,0.01,0.01,50.0,7,100
STOXX50,2,0.01,0.0,0.01,1.0,1.0,250.0,7,100
SWI20,0,0.0,0.0,0.0,1.0,1.0,250.0,7,100
Soybean_F1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Soybean_H1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Soybean_K1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Soybean_N1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Soybean_Q1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Soybean_U1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Soybean_U9,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Soybean_X1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Soybean_X9,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Sugar_H1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Sugar_K1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Sugar_N1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Sugar_V1,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
Sugar_V9,0,0.0,0.0,0.0,1.0,1.0,100.0,7,100
TecDE30,0,0.0,0.0,0.0,1.0,1.0,250.0,7,100
UK100,2,0.01,0.0,0.01,1.0,1.0,250.0,7,100
UKGB_H1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
UKGB_M1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
UKGB_U1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
UKGB_U9,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
UKGB_Z0,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
UKGB_Z1,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
UKGB_Z9,0,0.0,0.0,0.0,1.0,1.0,1000.0,7,100
US2000,2,0.01,0.0,0.01,1.0,1.0,250.0,7,100
US30,2,0.01,0.0,0.01,1.0,1.0,250.0,7,100
US500,2,0.01,0.0,0.01,1.0,1.0,250.0,7,100
